revenue,cost price,material expenditures,labor expenses,labor costs,social taxes,depreciation,other expenditures,selling expenses,management expenses,full cost price,Income,other i\e,net profit,assets,capital assets,fixed assets,intangible assets,current assets,stock,raw materials,unfinished production,receivables,accounts payable,cash,mobile working capital,short-term investments,VAT purchased,short-term receivables,working capital,charter capital,short-term liabilities,long term liabilities,borrowed capital,revenue of the future periods,future expenses,Dso,DSp,DSv,dDS,tax on profits,VAT,Social tax,sector
18405.78358,-15903900,4161.515057,2462.979379,1814.400614,546.6398854,1661.746384,1090.71438,NA,NA,8884.972443,6627.434037,410.5999413,4563.184793,48436.61086,2710.274228,1355.393079,106.20105,38331.1751,1708.709266,1203.420841,613.9948502,25197.42883,7614.363474,4592.585893,2049.195217,3154.908592,28.49623827,36200.86894,35560.08816,31665.9641,9504.902626,NA,7953.487329,NA,NA,4194.130282,18517.04137,11029.24642,7875.246805,1338.714429,1675.845119,354.983218,transport
17546.64328,9620.355286,4654.370704,-5748457.5,2287.189897,625.1905504,1174.919458,915.0247639,NA,NA,10979.38179,7155.824424,371.2127371,4740.595873,40272.20685,1690.843075,1099.715873,119.2736773,43703.79352,1168.094507,1083.441785,469.8582698,25138.71666,8806.001672,5501.371202,1174.909217,3594.010958,32.71381785,34853.63962,33167.10156,38191.33158,11097.04094,NA,8017.238557,NA,NA,4394.25473,12288.69523,8945.343898,5334.340217,1205.472921,1987.907554,778.7695621,transport
15084.56072,7966.462711,3728.012755,2345.590365,2518.656154,-662040,1296.402904,1412.613054,NA,NA,9249.419429,5661.234452,262.3551548,5849.680368,35437.23353,2249.578678,949.104121,103.626617,44037.01552,1592.153376,996.3755945,414.047951,33143.36955,10479.78941,4123.311878,1430.269417,2662.382773,24.94057315,33503.05395,29304.16649,39659.45016,11588.49805,NA,13063.33953,NA,NA,4674.041776,14906.71681,9043.567058,7671.115486,2006.224034,2201.329089,811.7802108,transport
14020.80026,10061.22492,3942.970983,2376.575247,1664.93317,502.7479937,1378.070562,-773660.25,NA,NA,10201.44772,6540.610746,313.1933879,5082.548821,42424.02167,2674.034084,1598.399513,111.8858195,40106.66317,1705.556353,1130.378946,515.3061598,28117.84554,9937.686348,4456.12883,1566.068096,3445.898025,30.71940396,34394.98657,33238.65438,27863.94933,9442.658044,NA,9845.421102,NA,NA,3895.093372,17044.52148,9136.777117,5431.939351,1066.338579,2433.130125,577.0298372,transport
17019.99282,12886.28684,4245.803937,1899.028358,2258.65132,549.6506849,1694.638903,1246.583771,NA,NA,9067.216371,6623.159643,357.7160372,4235.031879,42616.84622,2282.091715,1426.920878,93.05980777,44573.15917,1545.317653,973.4763825,458.4522987,20059.44735,11680.32651,5690.472642,1520.347014,3547.052106,33.64418331,33026.84228,38887.86203,34587.42548,8967.452858,NA,10649.8034,NA,NA,5017.310598,16532.30979,8082.436341,7495.937045,1660.252877,2502.547538,731.7684864,transport
14262.49649,9650.406717,3751.724274,2303.646713,2731.144748,619.1251243,1412.998887,1379.357111,NA,NA,11145.88332,7512.005432,316.8495511,5217.056581,39147.05794,1910.054675,1487.859953,101.4273775,37591.71439,1532.950688,1191.229332,573.2851531,35761.3031,12706.92466,5146.509499,1362.056595,2901.690929,28.10874148,29358.02537,28837.82837,36494.26282,11672.67514,NA,12432.20634,NA,NA,4748.505995,17418.00242,10157.31534,6624.958563,1508.738373,1557.275367,639.8403453,transport
13579.73607,7174.313704,3001.547927,2903.838251,2505.290893,665.1127504,1292.826057,1231.152271,NA,NA,9704.915659,4549.96431,263.0212976,4824.452456,43981.16602,2006.151597,1403.436804,93.67101851,33070.85884,1623.126168,1176.620739,636.3980147,31197.59685,8994.937187,5608.514446,2169.678345,3469.559823,22.29574527,28459.89815,33636.67075,42687.35139,10642.23609,NA,9665.337193,NA,NA,4640.414616,16815.57334,9101.984826,7911.623108,1640.74727,1722.841094,559.6617057,transport
15663.25232,8991.318433,2863.34942,3608.258196,2005.200365,418.0942336,983.0488549,1352.551687,NA,NA,9678.075328,6306.98973,321.8190325,4682.932692,33795.03558,2166.46449,1276.197941,97.88548012,55579.87818,1391.904752,1036.287097,433.1537296,26735.38799,9179.48744,5225.578735,1456.495994,5540.929947,30.83858181,29976.37775,32317.61317,33228.67008,10821.63142,NA,12708.33261,NA,NA,5572.108762,16556.8674,7880.5493,7757.391628,1676.606298,2890.965439,819.7414523,transport
13121.30811,8920.619365,2689.635178,2485.880827,2516.024475,537.2064446,1494.26977,1349.684253,NA,NA,9371.190902,5699.736983,336.2801214,4993.951989,35617.50588,2164.442314,1332.092998,93.69635004,49719.27751,1841.683583,1384.78206,391.6486419,28217.40907,8385.713683,4247.654003,2119.263702,3079.456724,26.06856739,28428.74028,22432.75124,36637.92458,9588.380282,NA,7490.080875,NA,NA,3980.480241,15681.54892,7156.5904,8766.439513,1057.36468,2091.143408,769.6856148,transport
17378.97169,9707.849493,3513.616466,2426.40621,2525.01391,449.4648814,1297.372235,1561.495168,NA,NA,9691.92413,4332.324537,268.3083757,4568.665767,37646.32655,2265.401605,1178.197124,84.16194657,34025.02451,1813.777262,1070.863012,426.5906066,26730.72709,9049.035596,4966.239991,1473.919411,3376.933554,24.6697289,31748.03471,25858.10042,35411.59209,8527.040355,NA,8729.423275,NA,NA,2882.189583,15433.71422,9622.463595,7036.448788,1256.576288,2009.330144,454.4949867,transport
