"","revenue","cost.price","material.expenditures","labor.expenses","labor.costs","social.taxes","depreciation","other.expenditures","selling.expenses","management.expenses","full.cost.price","Income","other.i.e","net.profit","assets","capital.assets","fixed.assets","intangible.assets","current.assets","stock","raw.materials","unfinished.production","receivables","accounts.payable","cash","mobile.working.capital","short.term.investments","VAT.purchased","short.term.receivables","working.capital","charter.capital","short.term.liabilities","long.term.liabilities","borrowed.capital","revenue.of.the.future.periods","future.expenses","Dso","DSp","DSv","dDS","tax.on.profits","VAT","Social.tax","sector"
"1","0.016","0.000","0.004","0.002","0.002","0.000","0.001","0.001","0.000","0.000","0.008","0.006","0.000","0.004","0.042","0.002","0.001","0.000","0.033","0.001","0.001","0.001","0.022","0.007","0.004","0.002","0.003","0.000","0.031","0.031","0.027","0.008","0.000","0.007","0.000","0.000","0.004","0.016","0.010","0.007","0.001","0.001","0.000","0.000"
"2","0.015","0.008","0.004","0.000","0.002","0.001","0.001","0.001","0.000","0.000","0.009","0.006","0.000","0.004","0.035","0.001","0.001","0.000","0.038","0.001","0.001","0.000","0.022","0.008","0.005","0.001","0.003","0.000","0.030","0.029","0.033","0.010","0.000","0.007","0.000","0.000","0.004","0.011","0.008","0.005","0.001","0.002","0.001","0.000"
"3","0.013","0.007","0.003","0.002","0.002","0.000","0.001","0.001","0.000","0.000","0.008","0.005","0.000","0.005","0.031","0.002","0.001","0.000","0.038","0.001","0.001","0.000","0.029","0.009","0.004","0.001","0.002","0.000","0.029","0.025","0.034","0.010","0.000","0.011","0.000","0.000","0.004","0.013","0.008","0.007","0.002","0.002","0.001","0.000"
"4","0.012","0.009","0.003","0.002","0.001","0.000","0.001","0.000","0.000","0.000","0.009","0.006","0.000","0.004","0.037","0.002","0.001","0.000","0.035","0.001","0.001","0.000","0.024","0.009","0.004","0.001","0.003","0.000","0.030","0.029","0.024","0.008","0.000","0.008","0.000","0.000","0.003","0.015","0.008","0.005","0.001","0.002","0.000","0.000"
"5","0.015","0.011","0.004","0.002","0.002","0.000","0.001","0.001","0.000","0.000","0.008","0.006","0.000","0.004","0.037","0.002","0.001","0.000","0.038","0.001","0.001","0.000","0.017","0.010","0.005","0.001","0.003","0.000","0.028","0.034","0.030","0.008","0.000","0.009","0.000","0.000","0.004","0.014","0.007","0.006","0.001","0.002","0.001","0.000"
"6","0.012","0.008","0.003","0.002","0.002","0.001","0.001","0.001","0.000","0.000","0.010","0.006","0.000","0.005","0.034","0.002","0.001","0.000","0.032","0.001","0.001","0.000","0.031","0.011","0.004","0.001","0.003","0.000","0.025","0.025","0.031","0.010","0.000","0.011","0.000","0.000","0.004","0.015","0.009","0.006","0.001","0.001","0.001","0.000"
"7","0.012","0.006","0.003","0.003","0.002","0.001","0.001","0.001","0.000","0.000","0.008","0.004","0.000","0.004","0.038","0.002","0.001","0.000","0.029","0.001","0.001","0.001","0.027","0.008","0.005","0.002","0.003","0.000","0.025","0.029","0.037","0.009","0.000","0.008","0.000","0.000","0.004","0.015","0.008","0.007","0.001","0.001","0.000","0.000"
"8","0.014","0.008","0.002","0.003","0.002","0.000","0.001","0.001","0.000","0.000","0.008","0.005","0.000","0.004","0.029","0.002","0.001","0.000","0.048","0.001","0.001","0.000","0.023","0.008","0.005","0.001","0.005","0.000","0.026","0.028","0.029","0.009","0.000","0.011","0.000","0.000","0.005","0.014","0.007","0.007","0.001","0.002","0.001","0.000"
"9","0.011","0.008","0.002","0.002","0.002","0.000","0.001","0.001","0.000","0.000","0.008","0.005","0.000","0.004","0.031","0.002","0.001","0.000","0.043","0.002","0.001","0.000","0.024","0.007","0.004","0.002","0.003","0.000","0.025","0.019","0.032","0.008","0.000","0.006","0.000","0.000","0.003","0.014","0.006","0.008","0.001","0.002","0.001","0.000"
"10","0.015","0.008","0.003","0.002","0.002","0.000","0.001","0.001","0.000","0.000","0.008","0.004","0.000","0.004","0.032","0.002","0.001","0.000","0.029","0.002","0.001","0.000","0.023","0.008","0.004","0.001","0.003","0.000","0.027","0.022","0.031","0.007","0.000","0.008","0.000","0.000","0.002","0.013","0.008","0.006","0.001","0.002","0.000","0.000"
"11","0.012","0.009","0.003","0.002","0.002","0.001","0.001","0.001","0.000","0.000","0.009","0.005","0.000","0.003","0.041","0.002","0.001","0.000","0.040","0.001","0.001","0.000","0.022","0.007","0.005","0.001","0.003","0.000","0.030","0.026","0.032","0.006","0.000","0.009","0.000","0.000","0.004","0.013","0.007","0.006","0.001","0.002","0.000","0.000"
"12","0.022","0.006","0.003","0.002","0.002","0.000","0.001","0.001","0.000","0.000","0.005","0.007","0.000","0.005","0.032","0.002","0.001","0.000","0.033","0.001","0.001","0.000","0.033","0.007","0.004","0.001","0.003","0.000","0.021","0.025","0.036","0.007","0.000","0.010","0.000","0.000","0.004","0.013","0.007","0.005","0.001","0.002","0.001","0.000"
"13","0.017","0.007","0.003","0.002","0.002","0.000","0.001","0.001","0.000","0.000","0.008","0.006","0.000","0.005","0.038","0.002","0.001","0.000","0.040","0.001","0.001","0.000","0.030","0.011","0.004","0.002","0.003","0.000","0.034","0.029","0.023","0.011","0.000","0.009","0.000","0.000","0.004","0.012","0.005","0.006","0.001","0.002","0.001","0.000"
